FpDensityMorgan1,FpDensityMorgan2,MaxAbsPartialCharge,MinEStateIndex,MinPartialCharge,SMR_VSA10,TPSA,VSA_EState8,Additive_EState_VSA2,Additive_HallKierAlpha,Additive_Kappa1,Additive_Kappa3,Additive_LabuteASA,Additive_MolLogP,Additive_PEOE_VSA1,Additive_SlogP_VSA1,Time(s),DMF_ratio,Stability
0.525,0.85,0.354449989,-0.129727104,-0.354449989,34.31603499,58.2,12.8050886,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,110,1,1
0.525,0.85,0.354449989,-0.129727104,-0.354449989,34.31603499,58.2,12.8050886,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,150,1,1
0.525,0.85,0.354449989,-0.129727104,-0.354449989,34.31603499,58.2,12.8050886,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,190,1,1
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,70,1,1
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,110,1,0
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,150,1,0
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,190,1,0
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,70,1,1
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,110,1,1
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,150,1,1
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,190,1,0
0.620689655,1.344827586,0.505593144,0.105327906,-0.505593144,33.52199353,69.67,3.954250847,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,70,1,0
0.620689655,1.344827586,0.505593144,0.105327906,-0.505593144,33.52199353,69.67,3.954250847,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,110,1,0
0.620689655,1.344827586,0.505593144,0.105327906,-0.505593144,33.52199353,69.67,3.954250847,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,150,1,0
0.620689655,1.344827586,0.505593144,0.105327906,-0.505593144,33.52199353,69.67,3.954250847,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,190,1,0
0.525,0.85,0.354449989,-0.129727104,-0.354449989,34.31603499,58.2,12.8050886,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,70,1,0
0.525,0.85,0.354449989,-0.129727104,-0.354449989,34.31603499,58.2,12.8050886,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,110,1,0
0.525,0.85,0.354449989,-0.129727104,-0.354449989,34.31603499,58.2,12.8050886,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,150,1,0
0.525,0.85,0.354449989,-0.129727104,-0.354449989,34.31603499,58.2,12.8050886,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,190,1,0
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,70,1,0
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,110,1,0
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,150,1,0
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,190,1,0
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,70,1,1
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,110,1,0
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,150,1,0
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,190,1,0
0.620689655,1.344827586,0.505593144,0.105327906,-0.505593144,33.52199353,69.67,3.954250847,31.26763637,0.887402597,13.06155996,0.014286836,31.81913654,-5.992,12.40703316,31.26763637,70,1,1
0.620689655,1.344827586,0.505593144,0.105327906,-0.505593144,33.52199353,69.67,3.954250847,31.26763637,0.887402597,13.06155996,0.014286836,31.81913654,-5.992,12.40703316,31.26763637,110,1,0
0.620689655,1.344827586,0.505593144,0.105327906,-0.505593144,33.52199353,69.67,3.954250847,31.26763637,0.887402597,13.06155996,0.014286836,31.81913654,-5.992,12.40703316,31.26763637,150,1,1
0.620689655,1.344827586,0.505593144,0.105327906,-0.505593144,33.52199353,69.67,3.954250847,31.26763637,0.887402597,13.06155996,0.014286836,31.81913654,-5.992,12.40703316,31.26763637,190,1,1
0.525,0.85,0.354449989,-0.129727104,-0.354449989,34.31603499,58.2,12.8050886,31.26763637,0.887402597,13.06155996,0.014286836,31.81913654,-5.992,12.40703316,31.26763637,70,1,0
0.525,0.85,0.354449989,-0.129727104,-0.354449989,34.31603499,58.2,12.8050886,31.26763637,0.887402597,13.06155996,0.014286836,31.81913654,-5.992,12.40703316,31.26763637,110,1,1
0.525,0.85,0.354449989,-0.129727104,-0.354449989,34.31603499,58.2,12.8050886,31.26763637,0.887402597,13.06155996,0.014286836,31.81913654,-5.992,12.40703316,31.26763637,150,1,1
0.525,0.85,0.354449989,-0.129727104,-0.354449989,34.31603499,58.2,12.8050886,31.26763637,0.887402597,13.06155996,0.014286836,31.81913654,-5.992,12.40703316,31.26763637,190,1,1
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,31.26763637,0.887402597,13.06155996,0.014286836,31.81913654,-5.992,12.40703316,31.26763637,70,1,0
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,31.26763637,0.887402597,13.06155996,0.014286836,31.81913654,-5.992,12.40703316,31.26763637,110,1,0
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,31.26763637,0.887402597,13.06155996,0.014286836,31.81913654,-5.992,12.40703316,31.26763637,150,1,0
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,31.26763637,0.887402597,13.06155996,0.014286836,31.81913654,-5.992,12.40703316,31.26763637,190,1,0
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,31.26763637,0.887402597,13.06155996,0.014286836,31.81913654,-5.992,12.40703316,31.26763637,70,1,0
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,31.26763637,0.887402597,13.06155996,0.014286836,31.81913654,-5.992,12.40703316,31.26763637,110,1,0
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,31.26763637,0.887402597,13.06155996,0.014286836,31.81913654,-5.992,12.40703316,31.26763637,150,1,0
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,31.26763637,0.887402597,13.06155996,0.014286836,31.81913654,-5.992,12.40703316,31.26763637,190,1,0
0.620689655,1.344827586,0.505593144,0.105327906,-0.505593144,33.52199353,69.67,3.954250847,18.55757951,0.25,56.25,2.25,19.65732138,-2.6198,18.55757951,18.55757951,70,1,1
0.620689655,1.344827586,0.505593144,0.105327906,-0.505593144,33.52199353,69.67,3.954250847,18.55757951,0.25,56.25,2.25,19.65732138,-2.6198,18.55757951,18.55757951,110,1,1
0.620689655,1.344827586,0.505593144,0.105327906,-0.505593144,33.52199353,69.67,3.954250847,18.55757951,0.25,56.25,2.25,19.65732138,-2.6198,18.55757951,18.55757951,150,1,1
0.620689655,1.344827586,0.505593144,0.105327906,-0.505593144,33.52199353,69.67,3.954250847,18.55757951,0.25,56.25,2.25,19.65732138,-2.6198,18.55757951,18.55757951,190,1,1
0.525,0.85,0.354449989,-0.129727104,-0.354449989,34.31603499,58.2,12.8050886,18.55757951,0.25,56.25,2.25,19.65732138,-2.6198,18.55757951,18.55757951,70,1,0
0.525,0.85,0.354449989,-0.129727104,-0.354449989,34.31603499,58.2,12.8050886,18.55757951,0.25,56.25,2.25,19.65732138,-2.6198,18.55757951,18.55757951,110,1,0
0.525,0.85,0.354449989,-0.129727104,-0.354449989,34.31603499,58.2,12.8050886,18.55757951,0.25,56.25,2.25,19.65732138,-2.6198,18.55757951,18.55757951,150,1,0
0.525,0.85,0.354449989,-0.129727104,-0.354449989,34.31603499,58.2,12.8050886,18.55757951,0.25,56.25,2.25,19.65732138,-2.6198,18.55757951,18.55757951,190,1,0
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,18.55757951,0.25,56.25,2.25,19.65732138,-2.6198,18.55757951,18.55757951,70,1,1
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,18.55757951,0.25,56.25,2.25,19.65732138,-2.6198,18.55757951,18.55757951,110,1,1
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,18.55757951,0.25,56.25,2.25,19.65732138,-2.6198,18.55757951,18.55757951,150,1,1
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,18.55757951,0.25,56.25,2.25,19.65732138,-2.6198,18.55757951,18.55757951,190,1,1
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,18.55757951,0.25,56.25,2.25,19.65732138,-2.6198,18.55757951,18.55757951,70,1,1
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,18.55757951,0.25,56.25,2.25,19.65732138,-2.6198,18.55757951,18.55757951,110,1,1
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,18.55757951,0.25,56.25,2.25,19.65732138,-2.6198,18.55757951,18.55757951,150,1,1
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,18.55757951,0.25,56.25,2.25,19.65732138,-2.6198,18.55757951,18.55757951,190,1,1
0,0,0,0,0,0,0,0,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,70,0,0
0,0,0,0,0,0,0,0,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,110,0,0
0,0,0,0,0,0,0,0,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,150,0,0
0,0,0,0,0,0,0,0,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,190,0,0
0,0,0,0,0,0,0,0,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,70,0,0
0,0,0,0,0,0,0,0,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,110,0,0
0,0,0,0,0,0,0,0,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,150,0,0
0,0,0,0,0,0,0,0,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,190,0,0
0,0,0,0,0,0,0,0,31.26763637,0.887402597,13.06155996,0.014286836,31.81913654,-5.992,12.40703316,31.26763637,70,0,0
0,0,0,0,0,0,0,0,31.26763637,0.887402597,13.06155996,0.014286836,31.81913654,-5.992,12.40703316,31.26763637,110,0,0
0,0,0,0,0,0,0,0,31.26763637,0.887402597,13.06155996,0.014286836,31.81913654,-5.992,12.40703316,31.26763637,150,0,0
0,0,0,0,0,0,0,0,31.26763637,0.887402597,13.06155996,0.014286836,31.81913654,-5.992,12.40703316,31.26763637,190,0,0
0,0,0,0,0,0,0,0,18.55757951,0.25,56.25,2.25,19.65732138,-2.6198,18.55757951,18.55757951,70,0,0
0,0,0,0,0,0,0,0,18.55757951,0.25,56.25,2.25,19.65732138,-2.6198,18.55757951,18.55757951,110,0,0
0,0,0,0,0,0,0,0,18.55757951,0.25,56.25,2.25,19.65732138,-2.6198,18.55757951,18.55757951,150,0,0
0,0,0,0,0,0,0,0,18.55757951,0.25,56.25,2.25,19.65732138,-2.6198,18.55757951,18.55757951,190,0,0
0.620689655,1.344827586,0.505593144,0.105327906,-0.505593144,33.52199353,69.67,3.954250847,0,0,0,0,0,0,0,0,70,0,0
0.620689655,1.344827586,0.505593144,0.105327906,-0.505593144,33.52199353,69.67,3.954250847,0,0,0,0,0,0,0,0,110,0,0
0.620689655,1.344827586,0.505593144,0.105327906,-0.505593144,33.52199353,69.67,3.954250847,0,0,0,0,0,0,0,0,150,0,1
0.620689655,1.344827586,0.505593144,0.105327906,-0.505593144,33.52199353,69.67,3.954250847,0,0,0,0,0,0,0,0,190,0,0
0.525,0.85,0.354449989,-0.129727104,-0.354449989,34.31603499,58.2,12.8050886,0,0,0,0,0,0,0,0,70,0,0
0.525,0.85,0.354449989,-0.129727104,-0.354449989,34.31603499,58.2,12.8050886,0,0,0,0,0,0,0,0,110,0,0
0.525,0.85,0.354449989,-0.129727104,-0.354449989,34.31603499,58.2,12.8050886,0,0,0,0,0,0,0,0,150,0,0
0.525,0.85,0.354449989,-0.129727104,-0.354449989,34.31603499,58.2,12.8050886,0,0,0,0,0,0,0,0,190,0,0
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,0,0,0,0,0,0,0,0,70,0,0
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,0,0,0,0,0,0,0,0,110,0,0
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,0,0,0,0,0,0,0,0,150,0,0
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,0,0,0,0,0,0,0,0,190,0,0
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,0,0,0,0,0,0,0,0,70,0,1
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,0,0,0,0,0,0,0,0,110,0,0
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,0,0,0,0,0,0,0,0,150,0,0
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,0,0,0,0,0,0,0,0,190,0,0
0.620689655,1.344827586,0.505593144,0.105327906,-0.505593144,33.52199353,69.67,3.954250847,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,70,0,0
0.620689655,1.344827586,0.505593144,0.105327906,-0.505593144,33.52199353,69.67,3.954250847,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,110,0,0
0.620689655,1.344827586,0.505593144,0.105327906,-0.505593144,33.52199353,69.67,3.954250847,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,150,0,0
0.620689655,1.344827586,0.505593144,0.105327906,-0.505593144,33.52199353,69.67,3.954250847,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,190,0,0
0.525,0.85,0.354449989,-0.129727104,-0.354449989,34.31603499,58.2,12.8050886,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,70,0,0
0.525,0.85,0.354449989,-0.129727104,-0.354449989,34.31603499,58.2,12.8050886,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,110,0,0
0.525,0.85,0.354449989,-0.129727104,-0.354449989,34.31603499,58.2,12.8050886,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,150,0,0
0.525,0.85,0.354449989,-0.129727104,-0.354449989,34.31603499,58.2,12.8050886,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,190,0,0
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,70,0,1
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,110,0,1
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,150,0,1
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,190,0,1
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,70,0,1
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,110,0,0
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,150,0,0
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,19.41884471,1.882077922,4.882077922,3.882077922,42.8030803,1.3104,0,0,190,0,0
0.620689655,1.344827586,0.505593144,0.105327906,-0.505593144,33.52199353,69.67,3.954250847,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,70,0,0
0.620689655,1.344827586,0.505593144,0.105327906,-0.505593144,33.52199353,69.67,3.954250847,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,110,0,0
0.620689655,1.344827586,0.505593144,0.105327906,-0.505593144,33.52199353,69.67,3.954250847,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,150,0,0
0.620689655,1.344827586,0.505593144,0.105327906,-0.505593144,33.52199353,69.67,3.954250847,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,190,0,0
0.525,0.85,0.354449989,-0.129727104,-0.354449989,34.31603499,58.2,12.8050886,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,70,0,0
0.525,0.85,0.354449989,-0.129727104,-0.354449989,34.31603499,58.2,12.8050886,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,110,0,0
0.525,0.85,0.354449989,-0.129727104,-0.354449989,34.31603499,58.2,12.8050886,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,150,0,0
0.525,0.85,0.354449989,-0.129727104,-0.354449989,34.31603499,58.2,12.8050886,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,190,0,0
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,70,0,0
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,110,0,0
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,150,0,0
0.644444444,1.066666667,0.50747905,-1.753625756,-0.50747905,29.84652644,231.67,-3.269257575,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,190,0,0
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,70,0,0
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,110,0,0
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,150,0,0
0.485714286,1,0.36272746,-0.219415298,-0.36272746,55.66921451,73.5,4.243222288,85.87524468,2.531948052,8.818687552,0.926900863,83.18596902,-5.992,16.98145085,85.87524468,190,0,0
0.620689655,1.344827586,0.505593144,0.105327906,-0.505593144,33.52199353,69.67,3.954250847,31.26763637,0.887402597,13.06155996,0.014286836,31.81913654,-5.992,12.40703316,31.26763637,70,0,1
